type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Proper Noun,Δαυίδ,"Δαυίδ, ὁ",David,59,50,datid,50-100,,,,,,
Noun,διδάσκαλος,"διδάσκαλος, -ου, ὁ",a teacher,59,50,didarjakor,50-100,,,,,,
Adverb,εὐθύς,"εὐθύς, -εῖα, -ύ","straightway, immediately",59,50,ethtr,50-100,,,,,,
Noun,λίθος,"λίθος, -ου, ὁ",a stone,59,50,kihor,50-100,,,,,,
Verb,συνάγω,συνάγω,to gather together,59,50,rtmacx,50-100,,,,,,
Noun,χαρά,"χαρά, -ᾶς, ἡ","joy, delight",59,50,vaqa,50-100,,,,,,
Adjective,τοιοῦτος,"τοιοῦτος, -αύτη, -οῦτον",such,57,50,soiotsor,50-100,,,,,,
Verb,δέχομαι,δέχομαι,to receive,56,50,devolai,50-100,,,,,,
Verb,ἐπερωτάω,ἐπερωτάω,"to ask, question, demand of",56,50,epeqxsax,50-100,,,,,,
Particle,μηδέ,μηδέ,"but not, nor, not even",56,50,lgde,50-100,,,,,,
Noun,συναγωγή,"συναγωγή, -ῆς, ἡ",a synagogue,56,50,rtmacxcg,50-100,,,,,,
